region,disease_class,year,cases,region_eng,class_name,class_name_short
российская федерация,total,1992,615.6,Russian Federation,total,total
центральный федеральный округ,total,1992,603.2,Central Federal District,total,total
белгородская область,total,1992,556.1,Belgorod Oblast,total,total
брянская область,total,1992,665.6,Bryansk Oblast,total,total
владимирская область,total,1992,624.1,Vladimir Oblast,total,total
воронежская область,total,1992,487.2,Voronezh Oblast,total,total
ивановская область,total,1992,616.9,Ivanovo Oblast,total,total
калужская область,total,1992,582.5,Kaluga Oblast,total,total
костромская область,total,1992,573.1,Kostroma Oblast,total,total
курская область,total,1992,528.7,Kursk Oblast,total,total
липецкая область,total,1992,590.9,Lipetsk Oblast,total,total
московская область,total,1992,633.6,Moscow Oblast,total,total
орловская область,total,1992,615.3,Oryol Oblast,total,total
рязанская область,total,1992,557.3,Ryazan Oblast,total,total
смоленская область,total,1992,662.8,Smolensk Oblast,total,total
тамбовская область,total,1992,542.8,Tambov Oblast,total,total
тверская область,total,1992,525.5,Tver Oblast,total,total
тульская область,total,1992,556.7,Tula Oblast,total,total
ярославская область,total,1992,621.1,Yaroslavl Oblast,total,total
г.москва,total,1992,649.4,Moscow,total,total
северо-западный федеральный округ,total,1992,628.2,Northwestern Federal District,total,total
республика карелия,total,1992,746.9,Republic of Karelia,total,total
республика коми,total,1992,646.4,Komi Republic,total,total
архангельская область,total,1992,714.7,Arkhangelsk Oblast (with AO),total,total
ненецкий автономный округ,total,1992,,Nenets Autonomous Okrug,total,total
вологодская область,total,1992,615.1,Vologda Oblast,total,total
калининградская область,total,1992,469.5,Kaliningrad Oblast,total,total
ленинградская область,total,1992,506.4,Leningrad Oblast,total,total
мурманская область,total,1992,697.7,Murmansk Oblast,total,total
новгородская область,total,1992,607.6,Novgorod Oblast,total,total
псковская область,total,1992,554.9,Pskov Oblast,total,total
г.санкт-петербург,total,1992,650.0,Saint Petersburg,total,total
южный федеральный округ,total,1992,525.3,Southern Federal District,total,total
республика адыгея,total,1992,559.3,Republic of Adygea,total,total
республика дагестан,total,1992,483.6,Republic of Dagestan,total,total
республика ингушетия,total,1992,323.4,Republic of Ingushetia,total,total
чеченская республика,total,1992,323.4,Chechen Republic,total,total
кабардино-балкарская республика,total,1992,452.3,Kabardino-Balkarian Republic,total,total
республика калмыкия,total,1992,577.9,Republic of Kalmykia,total,total
карачаево-черкесская республика,total,1992,416.2,Karachay-Cherkess Republic,total,total
республика северная осетия алания,total,1992,468.2,Republic of North Ossetia-Alania,total,total
краснодарский край,total,1992,488.0,Krasnodar Krai,total,total
ставропольский край,total,1992,554.3,Stavropol Krai,total,total
астраханская область,total,1992,645.9,Astrakhan Oblast,total,total
волгоградская область,total,1992,545.6,Volgograd Oblast,total,total
ростовская область,total,1992,613.1,Rostov Oblast,total,total
приволжский федеральный округ,total,1992,635.1,Volga Federal District,total,total
республика башкортостан,total,1992,572.0,Republic of Bashkortostan,total,total
республика марий эл,total,1992,645.3,Mari El Republic,total,total
республика мордовия,total,1992,518.1,Republic of Mordovia,total,total
республика татарстан,total,1992,643.5,Republic of Tatarstan,total,total
удмуртская республика,total,1992,720.6,Udmurt Republic,total,total
чувашская республика,total,1992,717.7,Chuvash Republic,total,total
кировская область,total,1992,541.0,Kirov Oblast,total,total
нижегородская область,total,1992,664.0,Nizhny Novgorod Oblast,total,total
оренбургская область,total,1992,769.2,Orenburg Oblast,total,total
пензенская область,total,1992,664.9,Penza Oblast,total,total
пермская область,total,1992,585.5,Perm Oblast,total,total
коми-пермяцкий автономный округ,total,1992,,Komi-Permyak Autonomous Okrug,total,total
самарская область,total,1992,686.8,Samara Oblast,total,total
саратовская область,total,1992,516.5,Saratov Oblast,total,total
ульяновская область,total,1992,669.1,Ulyanovsk Oblast,total,total
уральский федеральный округ,total,1992,651.7,Ural Federal District,total,total
курганская область,total,1992,655.9,Kurgan Oblast,total,total
свердловская область,total,1992,645.5,Sverdlovsk Oblast,total,total
тюменская область,total,1992,664.7,Tyumen Oblast (with AO),total,total
ханты-мансийский автономный округ-югра,total,1992,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
ямало-ненецкий автономный округ,total,1992,,Yamalo-Nenets Autonomous Okrug,total,total
челябинская область,total,1992,670.5,Chelyabinsk Oblast,total,total
сибирский федеральный округ,total,1992,644.6,Siberian Federal District,total,total
республика алтай,total,1992,591.9,Altai Republic,total,total
республика бурятия,total,1992,490.7,Republic of Buryatia,total,total
республика тыва,total,1992,514.7,Republic of Tuva,total,total
республика хакасия,total,1992,561.6,Republic of Khakassia,total,total
алтайский край,total,1992,690.9,Altai Krai,total,total
красноярский край,total,1992,675.5,Krasnoyarsk Krai,total,total
таймырский (долгано-ненецкий) автономный округ,total,1992,,Taimyr (Dolgan-Nenets) Autonomous Okrug,total,total
эвенкийский автономный округ,total,1992,,Evenk Autonomous Okrug,total,total
иркутская область,total,1992,579.3,Irkutsk Oblast,total,total
усть-ордынский бурятский автономный округ,total,1992,,Ust-Orda Buryat Autonomous Okrug,total,total
кемеровская область,total,1992,635.2,Kemerovo Oblast,total,total
новосибирская область,total,1992,728.0,Novosibirsk Oblast,total,total
омская область,total,1992,657.4,Omsk Oblast,total,total
томская область,total,1992,794.5,Tomsk Oblast,total,total
читинская область,total,1992,512.3,Chita Oblast,total,total
агинский бурятский автономный округ,total,1992,,Agin-Buryat Autonomous Okrug,total,total
дальневосточный федеральный округ,total,1992,673.0,Far Eastern Federal District,total,total
республика саха (якутия),total,1992,848.0,Sakha Republic (Yakutia),total,total
приморский край,total,1992,633.0,Primorsky Krai,total,total
хабаровский край,total,1992,694.7,Khabarovsk Krai,total,total
амурская область,total,1992,440.7,Amur Oblast,total,total
камчатская область,total,1992,754.9,Kamchatka Oblast,total,total
корякский автономный округ,total,1992,,Koryak Autonomous Okrug,total,total
магаданская область,total,1992,701.0,Magadan Oblast,total,total
сахалинская область,total,1992,785.2,Sakhalin Oblast,total,total
еврейская автономная область,total,1992,535.2,Jewish Autonomous Oblast,total,total
чукотский автономный округ,total,1992,767.2,Chukotka Autonomous Okrug,total,total
ханты-мансийский автономный округ-югра,total,1992,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
сибирский федеральный округ,total,1992,,Siberian Federal District,total,total
пермский край,total,1992,,Perm Krai,total,total
забайкальский край,total,1992,,Zabaykalsky Krai,total,total
камчатский край,total,1992,,Kamchatka Krai,total,total
северо-кавказский федеральный округ,total,1992,,North Caucasian Federal District,total,total
российская федерация,total,1996,648.5,Russian Federation,total,total
центральный федеральный округ,total,1996,636.6,Central Federal District,total,total
белгородская область,total,1996,574.7,Belgorod Oblast,total,total
брянская область,total,1996,627.3,Bryansk Oblast,total,total
владимирская область,total,1996,722.0,Vladimir Oblast,total,total
воронежская область,total,1996,464.5,Voronezh Oblast,total,total
ивановская область,total,1996,583.9,Ivanovo Oblast,total,total
калужская область,total,1996,689.8,Kaluga Oblast,total,total
костромская область,total,1996,590.0,Kostroma Oblast,total,total
курская область,total,1996,531.2,Kursk Oblast,total,total
липецкая область,total,1996,650.6,Lipetsk Oblast,total,total
московская область,total,1996,564.8,Moscow Oblast,total,total
орловская область,total,1996,666.0,Oryol Oblast,total,total
рязанская область,total,1996,569.2,Ryazan Oblast,total,total
смоленская область,total,1996,612.4,Smolensk Oblast,total,total
тамбовская область,total,1996,609.7,Tambov Oblast,total,total
тверская область,total,1996,649.7,Tver Oblast,total,total
тульская область,total,1996,606.9,Tula Oblast,total,total
ярославская область,total,1996,761.0,Yaroslavl Oblast,total,total
г.москва,total,1996,754.7,Moscow,total,total
северо-западный федеральный округ,total,1996,652.7,Northwestern Federal District,total,total
республика карелия,total,1996,745.6,Republic of Karelia,total,total
республика коми,total,1996,881.9,Komi Republic,total,total
архангельская область,total,1996,722.4,Arkhangelsk Oblast (with AO),total,total
ненецкий автономный округ,total,1996,,Nenets Autonomous Okrug,total,total
вологодская область,total,1996,685.1,Vologda Oblast,total,total
калининградская область,total,1996,550.5,Kaliningrad Oblast,total,total
ленинградская область,total,1996,498.5,Leningrad Oblast,total,total
мурманская область,total,1996,737.7,Murmansk Oblast,total,total
новгородская область,total,1996,730.4,Novgorod Oblast,total,total
псковская область,total,1996,502.6,Pskov Oblast,total,total
г.санкт-петербург,total,1996,618.6,Saint Petersburg,total,total
южный федеральный округ,total,1996,534.4,Southern Federal District,total,total
республика адыгея,total,1996,524.4,Republic of Adygea,total,total
республика дагестан,total,1996,524.2,Republic of Dagestan,total,total
республика ингушетия,total,1996,190.0,Republic of Ingushetia,total,total
чеченская республика,total,1996,,Chechen Republic,total,total
кабардино-балкарская республика,total,1996,374.3,Kabardino-Balkarian Republic,total,total
республика калмыкия,total,1996,614.3,Republic of Kalmykia,total,total
карачаево-черкесская республика,total,1996,444.7,Karachay-Cherkess Republic,total,total
республика северная осетия алания,total,1996,493.3,Republic of North Ossetia-Alania,total,total
краснодарский край,total,1996,512.5,Krasnodar Krai,total,total
ставропольский край,total,1996,485.1,Stavropol Krai,total,total
астраханская область,total,1996,577.0,Astrakhan Oblast,total,total
волгоградская область,total,1996,539.7,Volgograd Oblast,total,total
ростовская область,total,1996,643.0,Rostov Oblast,total,total
приволжский федеральный округ,total,1996,711.9,Volga Federal District,total,total
республика башкортостан,total,1996,770.5,Republic of Bashkortostan,total,total
республика марий эл,total,1996,736.5,Mari El Republic,total,total
республика мордовия,total,1996,587.0,Republic of Mordovia,total,total
республика татарстан,total,1996,686.6,Republic of Tatarstan,total,total
удмуртская республика,total,1996,834.9,Udmurt Republic,total,total
чувашская республика,total,1996,681.0,Chuvash Republic,total,total
кировская область,total,1996,591.3,Kirov Oblast,total,total
нижегородская область,total,1996,678.0,Nizhny Novgorod Oblast,total,total
оренбургская область,total,1996,822.3,Orenburg Oblast,total,total
пензенская область,total,1996,745.2,Penza Oblast,total,total
пермская область,total,1996,709.0,Perm Oblast,total,total
коми-пермяцкий автономный округ,total,1996,,Komi-Permyak Autonomous Okrug,total,total
самарская область,total,1996,763.7,Samara Oblast,total,total
саратовская область,total,1996,579.1,Saratov Oblast,total,total
ульяновская область,total,1996,718.1,Ulyanovsk Oblast,total,total
уральский федеральный округ,total,1996,687.7,Ural Federal District,total,total
курганская область,total,1996,773.8,Kurgan Oblast,total,total
свердловская область,total,1996,617.5,Sverdlovsk Oblast,total,total
тюменская область,total,1996,776.4,Tyumen Oblast (with AO),total,total
ханты-мансийский автономный округ-югра,total,1996,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
ямало-ненецкий автономный округ,total,1996,,Yamalo-Nenets Autonomous Okrug,total,total
челябинская область,total,1996,673.8,Chelyabinsk Oblast,total,total
сибирский федеральный округ,total,1996,645.7,Siberian Federal District,total,total
республика алтай,total,1996,693.2,Altai Republic,total,total
республика бурятия,total,1996,421.3,Republic of Buryatia,total,total
республика тыва,total,1996,625.1,Republic of Tuva,total,total
республика хакасия,total,1996,703.1,Republic of Khakassia,total,total
алтайский край,total,1996,749.4,Altai Krai,total,total
красноярский край,total,1996,613.4,Krasnoyarsk Krai,total,total
таймырский (долгано-ненецкий) автономный округ,total,1996,,Taimyr (Dolgan-Nenets) Autonomous Okrug,total,total
эвенкийский автономный округ,total,1996,,Evenk Autonomous Okrug,total,total
иркутская область,total,1996,676.8,Irkutsk Oblast,total,total
усть-ордынский бурятский автономный округ,total,1996,,Ust-Orda Buryat Autonomous Okrug,total,total
кемеровская область,total,1996,619.2,Kemerovo Oblast,total,total
новосибирская область,total,1996,554.8,Novosibirsk Oblast,total,total
омская область,total,1996,746.7,Omsk Oblast,total,total
томская область,total,1996,789.4,Tomsk Oblast,total,total
читинская область,total,1996,561.1,Chita Oblast,total,total
агинский бурятский автономный округ,total,1996,,Agin-Buryat Autonomous Okrug,total,total
дальневосточный федеральный округ,total,1996,671.1,Far Eastern Federal District,total,total
республика саха (якутия),total,1996,765.0,Sakha Republic (Yakutia),total,total
приморский край,total,1996,665.8,Primorsky Krai,total,total
хабаровский край,total,1996,699.4,Khabarovsk Krai,total,total
амурская область,total,1996,481.0,Amur Oblast,total,total
камчатская область,total,1996,768.7,Kamchatka Oblast,total,total
корякский автономный округ,total,1996,,Koryak Autonomous Okrug,total,total
магаданская область,total,1996,746.2,Magadan Oblast,total,total
сахалинская область,total,1996,723.9,Sakhalin Oblast,total,total
еврейская автономная область,total,1996,519.3,Jewish Autonomous Oblast,total,total
чукотский автономный округ,total,1996,711.7,Chukotka Autonomous Okrug,total,total
ханты-мансийский автономный округ-югра,total,1996,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
сибирский федеральный округ,total,1996,,Siberian Federal District,total,total
пермский край,total,1996,,Perm Krai,total,total
забайкальский край,total,1996,,Zabaykalsky Krai,total,total
камчатский край,total,1996,,Kamchatka Krai,total,total
северо-кавказский федеральный округ,total,1996,,North Caucasian Federal District,total,total
российская федерация,total,1997,674.2,Russian Federation,total,total
центральный федеральный округ,total,1997,673.8,Central Federal District,total,total
белгородская область,total,1997,611.5,Belgorod Oblast,total,total
брянская область,total,1997,683.7,Bryansk Oblast,total,total
владимирская область,total,1997,744.3,Vladimir Oblast,total,total
воронежская область,total,1997,491.3,Voronezh Oblast,total,total
ивановская область,total,1997,641.3,Ivanovo Oblast,total,total
калужская область,total,1997,759.5,Kaluga Oblast,total,total
костромская область,total,1997,637.3,Kostroma Oblast,total,total
курская область,total,1997,546.8,Kursk Oblast,total,total
липецкая область,total,1997,644.0,Lipetsk Oblast,total,total
московская область,total,1997,588.7,Moscow Oblast,total,total
орловская область,total,1997,732.8,Oryol Oblast,total,total
рязанская область,total,1997,597.7,Ryazan Oblast,total,total
смоленская область,total,1997,617.5,Smolensk Oblast,total,total
тамбовская область,total,1997,630.5,Tambov Oblast,total,total
тверская область,total,1997,689.7,Tver Oblast,total,total
тульская область,total,1997,600.9,Tula Oblast,total,total
ярославская область,total,1997,804.6,Yaroslavl Oblast,total,total
г.москва,total,1997,819.0,Moscow,total,total
северо-западный федеральный округ,total,1997,687.0,Northwestern Federal District,total,total
республика карелия,total,1997,823.4,Republic of Karelia,total,total
республика коми,total,1997,912.5,Komi Republic,total,total
архангельская область,total,1997,768.1,Arkhangelsk Oblast (with AO),total,total
ненецкий автономный округ,total,1997,,Nenets Autonomous Okrug,total,total
вологодская область,total,1997,722.5,Vologda Oblast,total,total
калининградская область,total,1997,568.0,Kaliningrad Oblast,total,total
ленинградская область,total,1997,484.3,Leningrad Oblast,total,total
мурманская область,total,1997,773.9,Murmansk Oblast,total,total
новгородская область,total,1997,759.2,Novgorod Oblast,total,total
псковская область,total,1997,528.4,Pskov Oblast,total,total
г.санкт-петербург,total,1997,665.6,Saint Petersburg,total,total
южный федеральный округ,total,1997,563.8,Southern Federal District,total,total
республика адыгея,total,1997,557.4,Republic of Adygea,total,total
республика дагестан,total,1997,554.0,Republic of Dagestan,total,total
республика ингушетия,total,1997,151.3,Republic of Ingushetia,total,total
чеченская республика,total,1997,,Chechen Republic,total,total
кабардино-балкарская республика,total,1997,366.1,Kabardino-Balkarian Republic,total,total
республика калмыкия,total,1997,668.5,Republic of Kalmykia,total,total
карачаево-черкесская республика,total,1997,463.3,Karachay-Cherkess Republic,total,total
республика северная осетия алания,total,1997,514.7,Republic of North Ossetia-Alania,total,total
краснодарский край,total,1997,527.0,Krasnodar Krai,total,total
ставропольский край,total,1997,525.9,Stavropol Krai,total,total
астраханская область,total,1997,629.9,Astrakhan Oblast,total,total
волгоградская область,total,1997,594.4,Volgograd Oblast,total,total
ростовская область,total,1997,673.7,Rostov Oblast,total,total
приволжский федеральный округ,total,1997,744.8,Volga Federal District,total,total
республика башкортостан,total,1997,814.0,Republic of Bashkortostan,total,total
республика марий эл,total,1997,733.0,Mari El Republic,total,total
республика мордовия,total,1997,597.3,Republic of Mordovia,total,total
республика татарстан,total,1997,732.7,Republic of Tatarstan,total,total
удмуртская республика,total,1997,858.4,Udmurt Republic,total,total
чувашская республика,total,1997,661.8,Chuvash Republic,total,total
кировская область,total,1997,632.1,Kirov Oblast,total,total
нижегородская область,total,1997,718.8,Nizhny Novgorod Oblast,total,total
оренбургская область,total,1997,821.4,Orenburg Oblast,total,total
пензенская область,total,1997,757.5,Penza Oblast,total,total
пермская область,total,1997,716.4,Perm Oblast,total,total
коми-пермяцкий автономный округ,total,1997,,Komi-Permyak Autonomous Okrug,total,total
самарская область,total,1997,820.5,Samara Oblast,total,total
саратовская область,total,1997,642.3,Saratov Oblast,total,total
ульяновская область,total,1997,772.8,Ulyanovsk Oblast,total,total
уральский федеральный округ,total,1997,714.5,Ural Federal District,total,total
курганская область,total,1997,831.7,Kurgan Oblast,total,total
свердловская область,total,1997,606.0,Sverdlovsk Oblast,total,total
тюменская область,total,1997,827.5,Tyumen Oblast (with AO),total,total
ханты-мансийский автономный округ-югра,total,1997,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
ямало-ненецкий автономный округ,total,1997,,Yamalo-Nenets Autonomous Okrug,total,total
челябинская область,total,1997,717.7,Chelyabinsk Oblast,total,total
сибирский федеральный округ,total,1997,645.0,Siberian Federal District,total,total
республика алтай,total,1997,723.9,Altai Republic,total,total
республика бурятия,total,1997,414.6,Republic of Buryatia,total,total
республика тыва,total,1997,612.2,Republic of Tuva,total,total
республика хакасия,total,1997,637.4,Republic of Khakassia,total,total
алтайский край,total,1997,755.8,Altai Krai,total,total
красноярский край,total,1997,616.2,Krasnoyarsk Krai,total,total
таймырский (долгано-ненецкий) автономный округ,total,1997,,Taimyr (Dolgan-Nenets) Autonomous Okrug,total,total
эвенкийский автономный округ,total,1997,,Evenk Autonomous Okrug,total,total
иркутская область,total,1997,648.0,Irkutsk Oblast,total,total
усть-ордынский бурятский автономный округ,total,1997,,Ust-Orda Buryat Autonomous Okrug,total,total
кемеровская область,total,1997,612.0,Kemerovo Oblast,total,total
новосибирская область,total,1997,612.5,Novosibirsk Oblast,total,total
омская область,total,1997,746.6,Omsk Oblast,total,total
томская область,total,1997,797.1,Tomsk Oblast,total,total
читинская область,total,1997,510.8,Chita Oblast,total,total
агинский бурятский автономный округ,total,1997,,Agin-Buryat Autonomous Okrug,total,total
дальневосточный федеральный округ,total,1997,653.0,Far Eastern Federal District,total,total
республика саха (якутия),total,1997,782.0,Sakha Republic (Yakutia),total,total
приморский край,total,1997,642.2,Primorsky Krai,total,total
хабаровский край,total,1997,647.1,Khabarovsk Krai,total,total
амурская область,total,1997,465.7,Amur Oblast,total,total
камчатская область,total,1997,724.1,Kamchatka Oblast,total,total
корякский автономный округ,total,1997,,Koryak Autonomous Okrug,total,total
магаданская область,total,1997,767.0,Magadan Oblast,total,total
сахалинская область,total,1997,718.5,Sakhalin Oblast,total,total
еврейская автономная область,total,1997,543.3,Jewish Autonomous Oblast,total,total
чукотский автономный округ,total,1997,823.2,Chukotka Autonomous Okrug,total,total
ханты-мансийский автономный округ-югра,total,1997,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
сибирский федеральный округ,total,1997,,Siberian Federal District,total,total
пермский край,total,1997,,Perm Krai,total,total
забайкальский край,total,1997,,Zabaykalsky Krai,total,total
камчатский край,total,1997,,Kamchatka Krai,total,total
северо-кавказский федеральный округ,total,1997,,North Caucasian Federal District,total,total
российская федерация,total,1998,670.4,Russian Federation,total,total
центральный федеральный округ,total,1998,677.6,Central Federal District,total,total
белгородская область,total,1998,605.9,Belgorod Oblast,total,total
брянская область,total,1998,660.4,Bryansk Oblast,total,total
владимирская область,total,1998,741.5,Vladimir Oblast,total,total
воронежская область,total,1998,481.0,Voronezh Oblast,total,total
ивановская область,total,1998,654.5,Ivanovo Oblast,total,total
калужская область,total,1998,760.8,Kaluga Oblast,total,total
костромская область,total,1998,615.8,Kostroma Oblast,total,total
курская область,total,1998,524.8,Kursk Oblast,total,total
липецкая область,total,1998,690.9,Lipetsk Oblast,total,total
московская область,total,1998,593.3,Moscow Oblast,total,total
орловская область,total,1998,722.0,Oryol Oblast,total,total
рязанская область,total,1998,575.8,Ryazan Oblast,total,total
смоленская область,total,1998,651.0,Smolensk Oblast,total,total
тамбовская область,total,1998,643.8,Tambov Oblast,total,total
тверская область,total,1998,682.9,Tver Oblast,total,total
тульская область,total,1998,571.3,Tula Oblast,total,total
ярославская область,total,1998,840.9,Yaroslavl Oblast,total,total
г.москва,total,1998,835.7,Moscow,total,total
северо-западный федеральный округ,total,1998,696.0,Northwestern Federal District,total,total
республика карелия,total,1998,816.0,Republic of Karelia,total,total
республика коми,total,1998,896.2,Komi Republic,total,total
архангельская область,total,1998,752.7,Arkhangelsk Oblast (with AO),total,total
ненецкий автономный округ,total,1998,,Nenets Autonomous Okrug,total,total
вологодская область,total,1998,745.1,Vologda Oblast,total,total
калининградская область,total,1998,583.4,Kaliningrad Oblast,total,total
ленинградская область,total,1998,519.4,Leningrad Oblast,total,total
мурманская область,total,1998,739.1,Murmansk Oblast,total,total
новгородская область,total,1998,772.5,Novgorod Oblast,total,total
псковская область,total,1998,555.9,Pskov Oblast,total,total
г.санкт-петербург,total,1998,683.5,Saint Petersburg,total,total
южный федеральный округ,total,1998,561.0,Southern Federal District,total,total
республика адыгея,total,1998,512.9,Republic of Adygea,total,total
республика дагестан,total,1998,535.2,Republic of Dagestan,total,total
республика ингушетия,total,1998,141.7,Republic of Ingushetia,total,total
чеченская республика,total,1998,,Chechen Republic,total,total
кабардино-балкарская республика,total,1998,378.7,Kabardino-Balkarian Republic,total,total
республика калмыкия,total,1998,628.1,Republic of Kalmykia,total,total
карачаево-черкесская республика,total,1998,428.2,Karachay-Cherkess Republic,total,total
республика северная осетия алания,total,1998,499.0,Republic of North Ossetia-Alania,total,total
краснодарский край,total,1998,529.9,Krasnodar Krai,total,total
ставропольский край,total,1998,520.2,Stavropol Krai,total,total
астраханская область,total,1998,693.9,Astrakhan Oblast,total,total
волгоградская область,total,1998,593.7,Volgograd Oblast,total,total
ростовская область,total,1998,668.2,Rostov Oblast,total,total
приволжский федеральный округ,total,1998,734.8,Volga Federal District,total,total
республика башкортостан,total,1998,797.1,Republic of Bashkortostan,total,total
республика марий эл,total,1998,705.0,Mari El Republic,total,total
республика мордовия,total,1998,601.2,Republic of Mordovia,total,total
республика татарстан,total,1998,703.1,Republic of Tatarstan,total,total
удмуртская республика,total,1998,827.0,Udmurt Republic,total,total
чувашская республика,total,1998,704.9,Chuvash Republic,total,total
кировская область,total,1998,630.2,Kirov Oblast,total,total
нижегородская область,total,1998,705.9,Nizhny Novgorod Oblast,total,total
оренбургская область,total,1998,799.4,Orenburg Oblast,total,total
пензенская область,total,1998,753.6,Penza Oblast,total,total
пермская область,total,1998,753.4,Perm Oblast,total,total
коми-пермяцкий автономный округ,total,1998,,Komi-Permyak Autonomous Okrug,total,total
самарская область,total,1998,809.9,Samara Oblast,total,total
саратовская область,total,1998,630.2,Saratov Oblast,total,total
ульяновская область,total,1998,725.2,Ulyanovsk Oblast,total,total
уральский федеральный округ,total,1998,689.3,Ural Federal District,total,total
курганская область,total,1998,789.8,Kurgan Oblast,total,total
свердловская область,total,1998,591.1,Sverdlovsk Oblast,total,total
тюменская область,total,1998,795.6,Tyumen Oblast (with AO),total,total
ханты-мансийский автономный округ-югра,total,1998,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
ямало-ненецкий автономный округ,total,1998,,Yamalo-Nenets Autonomous Okrug,total,total
челябинская область,total,1998,689.4,Chelyabinsk Oblast,total,total
сибирский федеральный округ,total,1998,639.4,Siberian Federal District,total,total
республика алтай,total,1998,717.4,Altai Republic,total,total
республика бурятия,total,1998,438.9,Republic of Buryatia,total,total
республика тыва,total,1998,580.6,Republic of Tuva,total,total
республика хакасия,total,1998,649.0,Republic of Khakassia,total,total
алтайский край,total,1998,756.0,Altai Krai,total,total
красноярский край,total,1998,596.2,Krasnoyarsk Krai,total,total
таймырский (долгано-ненецкий) автономный округ,total,1998,,Taimyr (Dolgan-Nenets) Autonomous Okrug,total,total
эвенкийский автономный округ,total,1998,,Evenk Autonomous Okrug,total,total
иркутская область,total,1998,635.6,Irkutsk Oblast,total,total
усть-ордынский бурятский автономный округ,total,1998,,Ust-Orda Buryat Autonomous Okrug,total,total
кемеровская область,total,1998,597.6,Kemerovo Oblast,total,total
новосибирская область,total,1998,638.3,Novosibirsk Oblast,total,total
омская область,total,1998,720.2,Omsk Oblast,total,total
томская область,total,1998,756.4,Tomsk Oblast,total,total
читинская область,total,1998,533.6,Chita Oblast,total,total
агинский бурятский автономный округ,total,1998,,Agin-Buryat Autonomous Okrug,total,total
дальневосточный федеральный округ,total,1998,653.6,Far Eastern Federal District,total,total
республика саха (якутия),total,1998,707.8,Sakha Republic (Yakutia),total,total
приморский край,total,1998,666.0,Primorsky Krai,total,total
хабаровский край,total,1998,636.0,Khabarovsk Krai,total,total
амурская область,total,1998,485.8,Amur Oblast,total,total
камчатская область,total,1998,708.7,Kamchatka Oblast,total,total
корякский автономный округ,total,1998,,Koryak Autonomous Okrug,total,total
магаданская область,total,1998,710.8,Magadan Oblast,total,total
сахалинская область,total,1998,808.8,Sakhalin Oblast,total,total
еврейская автономная область,total,1998,544.2,Jewish Autonomous Oblast,total,total
чукотский автономный округ,total,1998,711.0,Chukotka Autonomous Okrug,total,total
ханты-мансийский автономный округ-югра,total,1998,,Khanty-Mansi Autonomous Okrug-Yugra,total,total
сибирский федеральный округ,total,1998,,Siberian Federal District,total,total
пермский край,total,1998,,Perm Krai,total,total
забайкальский край,total,1998,,Zabaykalsky Krai,total,total
камчатский край,total,1998,,Kamchatka Krai,total,total
северо-кавказский федеральный округ,total,1998,,North Caucasian Federal District,total,total
российская федерация,total,1999,710.0,Russian Federation,total,total
центральный федеральный округ,total,1999,725.1,Central Federal District,total,total
белгородская область,total,1999,658.6,Belgorod Oblast,total,total
брянская область,total,1999,681.5,Bryansk Oblast,total,total
владимирская область,total,1999,831.0,Vladimir Oblast,total,total
воронежская область,total,1999,488.3,Voronezh Oblast,total,total
ивановская область,total,1999,765.6,Ivanovo Oblast,total,total
калужская область,total,1999,808.2,Kaluga Oblast,total,total
костромская область,total,1999,636.5,Kostroma Oblast,total,total
курская область,total,1999,577.3,Kursk Oblast,total,total
липецкая область,total,1999,754.2,Lipetsk Oblast,total,total
московская область,total,1999,635.8,Moscow Oblast,total,total
орловская область,total,1999,772.1,Oryol Oblast,total,total
рязанская область,total,1999,661.9,Ryazan Oblast,total,total
смоленская область,total,1999,710.5,Smolensk Oblast,total,total
тамбовская область,total,1999,667.1,Tambov Oblast,total,total
тверская область,total,1999,698.7,Tver Oblast,total,total
тульская область,total,1999,615.8,Tula Oblast,total,total
ярославская область,total,1999,998.6,Yaroslavl Oblast,total,total
г.москва,total,1999,867.6,Moscow,total,total
северо-западный федеральный округ,total,1999,736.3,Northwestern Federal District,total,total
республика карелия,total,1999,906.9,Republic of Karelia,total,total
республика коми,total,1999,944.9,Komi Republic,total,total
архангельская область,total,1999,846.6,Arkhangelsk Oblast (with AO),total,total
ненецкий автономный округ,total,1999,,Nenets Autonomous Okrug,total,total
вологодская область,total,1999,799.6,Vologda Oblast,total,total
калининградская область,total,1999,610.0,Kaliningrad Oblast,total,total
ленинградская область,total,1999,541.8,Leningrad Oblast,total,total
мурманская область,total,1999,821.3,Murmansk Oblast,total,total
новгородская область,total,1999,761.7,Novgorod Oblast,total,total
псковская область,total,1999,583.0,Pskov Oblast,total,total
г.санкт-петербург,total,1999,703.8,Saint Petersburg,total,total
южный федеральный округ,total,1999,588.8,Southern Federal District,total,total
республика адыгея,total,1999,528.5,Republic of Adygea,total,total
республика дагестан,total,1999,562.9,Republic of Dagestan,total,total
республика ингушетия,total,1999,221.7,Republic of Ingushetia,total,total
чеченская республика,total,1999,,Chechen Republic,total,total
кабардино-балкарская республика,total,1999,364.2,Kabardino-Balkarian Republic,total,total
